Timestamp ,Speaker,Words ,Tags
[00:00:00],Matteo Milani ,"This is Matteo Milani interviewing my grandpa, Tony Cole from Santa Rosa, California. How would you describe daily life in the 60's? How do you think it is different from today? How is it the same? ",Culture
,Tony Cole,"Well, I was a teenager in the early 60's. I didn't care about politics. Vietnam was going on, I lost a lot of friends. I've alwasy been behind the government, even today, but over the years i've come to the conclusion that we lost a lot of boys for nothing. So, I was wrong back then, but you know, what i'm gonna call the ""hippies,"" I was not one of them. I hold them to it for being against the government. ",Vietnam; politics
[00:01:30],MM*,Would you say the politics were similar to how the left and right are today?,Politics
,TC*,"Yeah, uh, they're lazy (chuckle) the Hate Ashbury scene, I was not into. They marched against the governement, and they had that free-spirit attitude with no rules. So I hold that to the young people of today. They're not working, they're against the government for no reason. Well, not searching out their reasoning, they're just going with the party atmosphere like in the 60's. Vietnam was a very big mistake. We have that going on now, but like I said, I'm pro government, I'm pro laws, and the hippies were on the other side of that fence. ",Politics; Vietnam
,MM*,"Yeah, their movement wasn't too happy with the government (chuckle)",
,TC*,"We all did the partying, drugs, the 50's started the 60's. ",Culture
,MM*,How so?,
,TC*,"Meaning the music, the attitude, the freedom, the cars going up and down the streets touring. And then my generation, about 5-6 years younger, we went into the 60's and continued that. The drugs were free, the partying was free. A big mistake (chuckle) A lot of years wasted.",Culture
[00:04:19],MM*,"Would you look back on it as a good time, or would you have liked to have done things differently?",
,TC*,"A good time in the partying, but not a good time in wasting years. You know, i'm a firm believer that drugs stop your growth. So it took me a lot of years to figure that out. So, again, I lost a lot of years that I could have been productive, and be in better shape than i'm in now, meaning financially, matterial things.",Culture
,MM*,So what was your favorite kind of music to listen to back then? And did you feel like it had an influence on you?,Culture
,TC*,"Well I met your grandmother at the Doors dance, or concert. The music carried over from the 50's and got more radical in the 60's. The 50's with Elvis, and Big Bopper, and Fats Domino. That kinda rubbed the adults wrong, and the 60's got to the Doors, the words, the lyrics, the music tempo, concerts. That didn't happen back in the 50's and 40's. We ran with that, The Philmore, in San Franscisco, there was no rules (chuckle) You just partied your heart out, and hoped you got home (chuckle)",Culture
,MM*,Seems like it all worked out (chuckle),
,TC*,"Well, yes and no. Like I said, at this phase of my life, I do not believe in the freedom of drugs. I watched my friends, and I watched my life, i've come to that conclusion",Culture
00:07:19],MM*,"Ok, so it sounds like the music did have a pretty big impact.",
,TC*,"Yes, yes it was the music and the drugs and everybody was on the same page with the lyrics. It was not Frank Sinatra (chuckle) it was loud and about freedom. Woodstock, I never made it to Woodstock, but Woodstock tells the whole picture of the 60's and early 70's. ",Culture
,MM*,Was that something you would have liked to have gone to?,
,TC*,Yes (chuckle) but I did not have a vehicle that would have made it,
,MM*,Oh dang (chuckle),
,TC*,"But we did Altamont, and the Philmore, and others like those concerts that were local. I don't know if you know anything about the Philmore, but they had, you know, Janis Joplin, Big Brother and the Holding Company, Jimi Hendrix, those musicians. ",Culture
,MM*,Oh that's awesome.,
